MOF,Density_g_cm^3,POAVF__,Cp_J_g_K,Henry_mol_kg_Pa_CO2,Henry_mol_kg_Pa_N2,T_ref_K_CO2,T_ref_K_N2,Uptake_mean_CO2,Uptake_mean_N2,Heat_mean_CO2,Heat_mean_N2,Uptake_max_CO2,Uptake_max_N2,Heat_max_CO2,Heat_max_N2,Uptake_min_CO2,Uptake_min_N2,Heat_min_CO2,Heat_min_N2,Uptake_first_CO2,Uptake_first_N2,Heat_first_CO2,Heat_first_N2,Uptake_last_CO2,Uptake_last_N2,Heat_last_CO2,Heat_last_N2,Henry_selectivity_CO2_N2,Uptake_mean_selectivity_CO2_N2,Uptake_max_selectivity_CO2_N2,Uptake_sat_mol_kg,Henry_mol_kg_Pa,Heat_henry_kJ_mol,Uptake_des_mol_kg,Heat_des_kJ_mol,Uptake_CO2_bin_mol_kg,Uptake_CO2_ter_mol_kg,WRC__,nCAC
691978,0.7924,0.5504,0.969,2.35e-05,2.75e-06,298.15,298.15,10.454722733000002,10.908840928549402,-24.697469561316357,-13.286510984772317,15.16047517,15.376744800962,-20.21963915980186,-11.662867886332371,1.001511238,0.90222802516849,-30.36531286334401,-14.528587294225169,1.001511238,0.90222802516849,-20.21963915980186,-11.662867886332371,15.16047517,15.376744800962,-20.923740502129096,-14.528587294225169,8.54545143801766,0.9583715448300386,0.9859352786456171,38.389683,4.63e-06,-13.12123291,0.045447308,-15.92945349,0.348108587,0.317350401,0.911641978,-624.3170855379815
010_bcg+N131+14_charge,0.8575,0.5814,0.8379,0.0477018,3.88e-06,298.15,298.15,2.12082663394273,9.04908986491491,-37.12031698218788,-14.091276738237365,3.699423165142,15.318476338106,-32.85194558676639,-13.252575826490474,0.07818346877814,0.125038778309,-52.596306088463095,-14.736094513761524,0.07818346877814,0.125038778309,-52.596306088463095,-14.237825265268802,3.699423165142,15.318476338106,-33.95974953221927,-14.736094513761524,12294.275181887839,0.23436905430294763,0.2415007265402194,37.494135,997121000.0,-116.7804629,28.42388158,-60.71231,4.467533075,0.005661869,0.001267337,75.15785702922894
014_dmp+N156+20_charge,1.1416,0.5032,0.7455,0.0365978,4.4e-06,298.15,298.15,2.066159923442644,5.624162958680222,-38.081959742033774,-15.708098717297254,3.3384684921877,8.6304902372294,-34.10384158851152,-14.479899267808674,0.21535428500489,0.21443483248434,-52.625915521399065,-19.055093915755858,0.21535428500489,0.21443483248434,-52.625915521399065,-18.832792272030375,3.3384684921877,8.6304902372294,-34.32961306267157,-15.319807205027459,8317.679927800016,0.36737198737341104,0.3868225790681207,24.2768655,1110000000000.0,-141.0107192,16.13855833,-55.93676,3.951049398,0.003562156,0.000901572,81.33783449056416
022_dmp+N276+33_charge,0.9546,0.449,0.9283,0.00831398,4.42e-06,298.15,298.15,2.575895441869782,6.561694914275964,-35.3518930990001,-16.20863216473168,4.7030357764714,9.8362324312838,-31.165131686116332,-15.356970934299223,0.04014269930623501,0.29510928523579,-52.942710269980424,-16.99197444119177,0.04014269930623501,0.29510928523579,-52.942710269980424,-16.723783049956726,4.7030357764714,9.8362324312838,-31.466846875504654,-15.693102631230946,1880.9905246627773,0.3925655605025369,0.47813385961814786,25.824927,3156730.0,-107.1839053,17.35279447,-54.02773,3.060804051,0.01242725,0.004060126,73.04144998250057
025_dmp+N520+36_charge,1.2038,0.4354,0.754,0.266767,4.31e-06,298.15,298.15,0.8502208001548016,4.218692466694135,-45.75019781113113,-17.034006463042967,1.1720340578317,6.5999470268658005,-40.3464386153421,-15.501632791220933,0.09028705013885,0.080144875336169,-63.10150668070933,-21.20062662028269,0.09028705013885,0.080144875336169,-63.10150668070933,-20.753729230370595,1.1720340578317,6.5999470268658005,-40.3464386153421,-15.65032197336853,61894.881230886014,0.20153656775575604,0.17758234317042704,19.7121015,15900000000000.0,-145.0492899,12.39814971,-58.20373,2.975421208,0.009388291,0.003155281,-167.7411160215282
027_dmp+N520+39_charge,0.9918,0.6254,0.6866,0.0925171,2.21e-06,298.15,298.15,1.0895672061064443,9.246228248252306,-37.23088251372115,-13.0655199948668,1.5952448581257999,14.358000539233,-30.192746212466975,-12.088431716647836,0.041057993898628006,0.35721834993675,-59.79931512018079,-14.161812152127316,0.041057993898628006,0.35721834993675,-59.79931512018079,-13.64577721537482,1.5952448581257999,14.358000539233,-30.192746212466975,-13.8308768498594,41862.92223397185,0.11783909901989205,0.1111049448540351,34.8509475,1290000000000.0,-142.2230586,14.66464302,-49.67977,2.228682368,0.044696997,0.020055346,-218.0140014418513
030_dmp+N520+42_charge,0.5972,0.7821,0.6728,0.011306,1.95e-06,298.15,298.15,1.3864181415809085,20.837570470444057,-26.333660383110306,-11.444788739928397,1.7957644198589,36.731431516387,-20.55718135873538,-8.14895364742249,0.023725925734402003,0.27233197465175,-54.98434479918198,-16.471397586360343,0.023725925734402003,0.27233197465175,-54.98434479918198,-9.141792256759054,1.7957644198589,36.731431516387,-20.55718135873538,-16.471397586360343,5797.945744643209,0.06653453882962666,0.04888903986923859,72.58401,1298310000.0,-114.4570922,7.513272654,-40.89882,1.61402724,0.072102397,0.044672355,-455.5074093167343
036_bcu+N124+36_charge,1.8341,0.3018,0.6279,0.0252896,3.15e-06,298.15,298.15,1.0977187696470097,2.10539189798681,-42.69836481540431,-18.716010774609,1.6636353124112,2.9957622511441,-39.03148637989603,-17.397283565207747,0.1114629503324,0.10780227515683,-55.343886191965524,-19.86975834672055,0.1114629503324,0.10780227515683,-55.343886191965524,-19.654063521068036,1.6636353124112,2.9957622511441,-39.160969419655096,-17.397283565207747,8028.441895732732,0.5213845321130638,0.55532955319645,8.9557575,62706200000.0,-134.1346535,6.821003211,-51.61023,2.254449192,0.012065085,0.005351677,248.09759136668475
041_dmp+N520+52_charge,1.4893,0.3536,0.6383,0.00576938,2.79e-06,298.15,298.15,1.2259350911231544,2.6505801523742565,-35.35411137973083,-16.42869960495516,1.7201374296284,3.78224689579,-31.04980020200618,-14.423808607446286,0.23882293340311,0.18441617245202999,-52.23618988232374,-24.78245491680839,0.23882293340311,0.18441617245202999,-52.23618988232374,-24.78245491680839,1.7201374296284,3.78224689579,-31.16140337883944,-14.462779896584623,2067.8773950260234,0.4625157590592236,0.4547924757483763,12.8037945,63100000000000.0,-149.0612011,6.380883842,-51.73295,1.444478993,0.008655113,0.005991858,144.74638188145445
045_dmp+N520+57_charge,1.3112,0.418,0.7215,0.00601931,1.42e-06,298.15,298.15,1.6922905753734445,4.559386109183245,-34.381212277329105,-14.494360056769468,2.9136101852345,6.7000844178421,-30.27913332673025,-13.57178166146553,0.096558993757725,0.33695643994578,-53.35177429589531,-15.38064815285771,0.096558993757725,0.33695643994578,-53.35177429589531,-13.599347075371279,2.9136101852345,6.7000844178421,-31.12094072841815,-14.488845359979269,4238.947719050902,0.3711663225811392,0.43486171270845764,17.3815455,27000000000000.0,-148.7677032,9.316122963,-53.29681,1.723208047,0.004122054,0.002392081,108.44851059430944
